"","UNITID","EFFYLEV","LSTUDY","XEYTOTLT","EFYTOTLT","XEYTOTLM","EFYTOTLM","XEYTOTLW","EFYTOTLW","XEFYAIAT","EFYAIANT","XEFYAIAM","EFYAIANM","XEFYAIAW","EFYAIANW","XEFYASIT","EFYASIAT","XEFYASIM","EFYASIAM","XEFYASIW","EFYASIAW","XEFYBKAT","EFYBKAAT","XEFYBKAM","EFYBKAAM","XEFYBKAW","EFYBKAAW","XEFYHIST","EFYHISPT","XEFYHISM","EFYHISPM","XEFYHISW","EFYHISPW","XEFYNHPT","EFYNHPIT","XEFYNHPM","EFYNHPIM","XEFYNHPW","EFYNHPIW","XEFYWHIT","EFYWHITT","XEFYWHIM","EFYWHITM","XEFYWHIW","EFYWHITW","XEFY2MOT","EFY2MORT","XEFY2MOM","EFY2MORM","XEFY2MOW","EFY2MORW","XEYUNKNT","EFYUNKNT","XEYUNKNM","EFYUNKNM","XEYUNKNW","EFYUNKNW","XEYNRALT","EFYNRALT","XEYNRALM","EFYNRALM","XEYNRALW","EFYNRALW"
"4419",170639,2,1,"R",3050,"R",1478,"R",1572,"R",258,"R",90,"R",168,"R",18,"R",7,"R",11,"R",40,"R",21,"R",19,"R",57,"R",25,"R",32,"Z",0,"Z",0,"Z",0,"R",2382,"R",1194,"R",1188,"Z",0,"Z",0,"Z",0,"R",55,"R",26,"R",29,"R",240,"R",115,"R",125
"4420",170639,4,3,"R",93,"R",20,"R",73,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"Z",0,"R",7,"R",3,"R",4,"R",2,"Z",0,"R",2,"Z",0,"Z",0,"Z",0,"R",77,"R",16,"R",61,"Z",0,"Z",0,"Z",0,"R",3,"R",1,"R",2,"R",4,"Z",0,"R",4
"4421",170657,1,999,"R",27811,"R",12540,"R",15271,"R",217,"R",99,"R",118,"R",666,"R",314,"R",352,"R",3296,"R",1504,"R",1792,"R",682,"R",296,"R",386,"R",107,"R",55,"R",52,"R",18463,"R",8216,"R",10247,"R",649,"R",285,"R",364,"R",3167,"R",1487,"R",1680,"R",564,"R",284,"R",280
"4422",170657,2,1,"R",27811,"R",12540,"R",15271,"R",217,"R",99,"R",118,"R",666,"R",314,"R",352,"R",3296,"R",1504,"R",1792,"R",682,"R",296,"R",386,"R",107,"R",55,"R",52,"R",18463,"R",8216,"R",10247,"R",649,"R",285,"R",364,"R",3167,"R",1487,"R",1680,"R",564,"R",284,"R",280
"4423",170675,1,999,"R",4884,"R",3502,"R",1382,"R",11,"R",6,"R",5,"R",1133,"R",854,"R",279,"R",496,"R",255,"R",241,"R",85,"R",59,"R",26,"R",4,"R",4,"R",0,"R",2414,"R",1767,"R",647,"R",49,"R",30,"R",19,"R",359,"R",275,"R",84,"R",333,"R",252,"R",81
"4424",170675,2,1,"R",3328,"R",2505,"R",823,"R",8,"R",4,"R",4,"R",985,"R",761,"R",224,"R",284,"R",176,"R",108,"R",58,"R",39,"R",19,"R",3,"R",3,"R",0,"R",1555,"R",1181,"R",374,"R",38,"R",23,"R",15,"R",281,"R",228,"R",53,"R",116,"R",90,"R",26
"4425",170675,4,3,"R",1556,"R",997,"R",559,"R",3,"R",2,"R",1,"R",148,"R",93,"R",55,"R",212,"R",79,"R",133,"R",27,"R",20,"R",7,"R",1,"R",1,"R",0,"R",859,"R",586,"R",273,"R",11,"R",7,"R",4,"R",78,"R",47,"R",31,"R",217,"R",162,"R",55
"4426",170736,1,999,"R",140,"R",4,"R",136,"R",1,"R",0,"R",1,"R",0,"R",0,"R",0,"R",1,"R",0,"R",1,"R",1,"R",0,"R",1,"R",0,"R",0,"R",0,"R",137,"R",4,"R",133,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0
"4427",170736,2,1,"R",140,"R",4,"R",136,"R",1,"R",0,"R",1,"R",0,"R",0,"R",0,"R",1,"R",0,"R",1,"R",1,"R",0,"R",1,"R",0,"R",0,"R",0,"R",137,"R",4,"R",133,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0,"R",0
"4428",170790,1,999,"R",35209,"R",16670,"R",18539,"R",172,"R",80,"R",92,"R",923,"R",501,"R",422,"R",4633,"R",1770,"R",2863,"R",580,"R",269,"R",311,"R",26,"R",9,"R",17,"R",23927,"R",11703,"R",12224,"R",269,"R",120,"R",149,"R",3104,"R",1487,"R",1617,"R",1575,"R",731,"R",844
"4429",170790,2,1,"R",35209,"R",16670,"R",18539,"R",172,"R",80,"R",92,"R",923,"R",501,"R",422,"R",4633,"R",1770,"R",2863,"R",580,"R",269,"R",311,"R",26,"R",9,"R",17,"R",23927,"R",11703,"R",12224,"R",269,"R",120,"R",149,"R",3104,"R",1487,"R",1617,"R",1575,"R",731,"R",844
"4430",170806,1,999,"R",6010,"R",1567,"R",4443,"R",29,"R",6,"R",23,"R",73,"R",21,"R",52,"R",750,"R",134,"R",616,"R",168,"R",38,"R",130,"R",8,"R",4,"R",4,"R",4291,"R",1035,"R",3256,"R",51,"R",11,"R",40,"R",178,"R",71,"R",107,"R",462,"R",247,"R",215
"4431",170806,2,1,"R",3870,"R",1143,"R",2727,"R",19,"R",5,"R",14,"R",55,"R",18,"R",37,"R",555,"R",107,"R",448,"R",128,"R",31,"R",97,"R",5,"R",3,"R",2,"R",2650,"R",743,"R",1907,"R",50,"R",11,"R",39,"R",110,"R",57,"R",53,"R",298,"R",168,"R",130
"4432",170806,4,3,"R",2140,"R",424,"R",1716,"R",10,"R",1,"R",9,"R",18,"R",3,"R",15,"R",195,"R",27,"R",168,"R",40,"R",7,"R",33,"R",3,"R",1,"R",2,"R",1641,"R",292,"R",1349,"R",1,"R",0,"R",1,"R",68,"R",14,"R",54,"R",164,"R",79,"R",85
"4433",170842,1,999,"R",3345,"R",782,"R",2563,"R",11,"R",5,"R",6,"R",20,"R",5,"R",15,"R",1185,"R",303,"R",882,"R",36,"R",9,"R",27,"R",2,"R",2,"R",0,"R",1641,"R",346,"R",1295,"R",42,"R",14,"R",28,"R",405,"R",97,"R",308,"R",3,"R",1,"R",2
"4434",170842,2,1,"R",1169,"R",292,"R",877,"R",6,"R",3,"R",3,"R",6,"R",1,"R",5,"R",840,"R",208,"R",632,"R",14,"R",6,"R",8,"R",1,"R",1,"R",0,"R",149,"R",39,"R",110,"R",25,"R",8,"R",17,"R",126,"R",26,"R",100,"R",2,"Z",0,"R",2
"4435",170842,4,3,"R",2176,"R",490,"R",1686,"R",5,"R",2,"R",3,"R",14,"R",4,"R",10,"R",345,"R",95,"R",250,"R",22,"R",3,"R",19,"R",1,"R",1,"R",0,"R",1492,"R",307,"R",1185,"R",17,"R",6,"R",11,"R",279,"R",71,"R",208,"R",1,"R",1,"R",0
